filename,t1,t2,te,k,te_single,k_single
samp11.txt,0.11008382642998027,0.07835307077939961,0.09189686924493556,0.8123013450599383,0.09494869771112868,0.8065031552964642
samp12.txt,0.02383199622463426,0.036454235510097036,0.030296053262725664,0.9393515804628593,0.031984497016443125,0.9359553403132896
samp21.txt,0.01565217391304348,0.014377788795240456,0.014660493827160503,0.9570019775528111,0.01851851851851849,0.9449661178199973
samp22.txt,0.05910605763575769,0.023862424457874155,0.03485598972665571,0.9189431009823855,0.03525347031125792,0.9177967214209125
samp23.txt,0.024342991913746632,0.056265597821976855,0.041163578402072076,0.9172715735810981,0.05889619446104799,0.8819668060085786
samp24.txt,0.051992225461613216,0.027235921972764077,0.03403630539241853,0.9140513681707085,0.03817405232247728,0.9036173496615403
samp31.txt,0.005185630542612355,0.017420930830547698,0.011780195412653294,0.9762694961560573,0.02612431570923701,0.9472276776762639
samp41.txt,0.13927873512169126,0.09193145305248125,0.11566200694506279,0.7686480060522626,0.11325794675451872,0.773440896305378
samp42.txt,0.001065707529889766,0.06718636984650005,0.020437956204379604,0.9515833065290483,0.028420061219684434,0.9329758617790882
samp51.txt,0.01566110397946085,0.017132616487455198,0.016811431773606,0.9499114480059124,0.03328663491174,0.8970272243359305
samp52.txt,0.25825571549534293,0.015015910898965791,0.04058022603897837,0.7960083000046737,0.040980688795941966,0.7909296903185745
samp53.txt,0.2728581713462923,0.01358028433720331,0.024056082378265176,0.6822083693509997,0.07228460061667341,0.47921343017840834
samp54.txt,0.02010810810810811,0.02837057494350992,0.023931226765799285,0.9518865930514204,0.04042750929368033,0.9191043292377408
samp61.txt,0.14676616915422885,0.0038990961186270456,0.008813462635481994,0.8696717117909931,0.01699942954934397,0.7839990943073928
samp71.txt,0.07966101694915254,0.00972972972972973,0.017641418983700863,0.9122177558790757,0.02134867369766702,0.8904827834239999
